Trip title,Reason for travel,Requester,Approval status,Destination,Travel start date,Travel end date,Travel duration (days),Airline,Estimated airfare,Hotel,Estimated hotel cost
"Warehouse visit","Visit to do quality checks at the warehouse","Mamidala Achyuth Kumar","0",,"8/15/2023","8/19/2023","4","Alaska Air","693.00",,
"Sales team sync","Meeting with the sales team to discuss FY21 goals and milestones.","Mamidala Achyuth Kumar","0",,"8/21/2023","8/24/2023","3","Southwest","568.00",,
"World Connect Conference","To learn about growing our global allyship and distribution efforts.","Mamidala Achyuth Kumar","0",,"8/7/2023","8/31/2023","24","British Airways","9,856.00",,
"Design sprint","Our design team is doing a week-long sprint in 2021 with our global partners","Mamidala Achyuth Kumar","0",,"8/8/2023","8/10/2023","2","Emirates","892.00",,
"Contoso partnership visit","Traveling to Japan to strengthen our partnership with Contoso and make negotiations with manufacturing.","Mamidala Achyuth Kumar","0",,"7/30/2023","8/24/2023","25","Japan Airlines","2,135.00",,
"Research interviews","Leading research sessions to test the perception of our new product launch.","Mamidala Achyuth Kumar","0",,"8/30/2023","9/2/2023","3","Emirates","445.00",,
"Warehouse visit","Visit to do quality checks at the warehouse","Mamidala Achyuth Kumar","0",,"8/15/2023","8/19/2023","4","Alaska Air","693.00",,
"Sales team sync","Meeting with the sales team to discuss FY21 goals and milestones.","Mamidala Achyuth Kumar","0",,"8/21/2023","8/24/2023","3","Southwest","568.00",,
"World Connect Conference","To learn about growing our global allyship and distribution efforts.","Mamidala Achyuth Kumar","0",,"8/7/2023","8/31/2023","24","British Airways","9,856.00",,
"Design sprint","Our design team is doing a week-long sprint in 2021 with our global partners","Mamidala Achyuth Kumar","0",,"8/8/2023","8/10/2023","2","Emirates","892.00",,
"Contoso partnership visit","Traveling to Japan to strengthen our partnership with Contoso and make negotiations with manufacturing.","Mamidala Achyuth Kumar","0",,"7/30/2023","8/24/2023","25","Japan Airlines","2,135.00",,
"Research interviews","Leading research sessions to test the perception of our new product launch.","Mamidala Achyuth Kumar","0",,"8/30/2023","9/2/2023","3","Emirates","445.00",,
